"stent_names","N","TLF","TLF_pct","Cardiac_Death","CD_pct","TVMI","TVMI_pct","TLR","TLR_pct","Any_Death","AD_pct","ST","ST_pct"
"BioMatrix",35,6,17.1,2,5.7,2,5.7,4,11.4,2,5.7,2,5.7
"Orsiro",340,49,14.4,19,5.6,10,2.9,28,8.2,47,13.8,1,0.3
"SYNERGY",156,19,12.2,5,3.2,3,1.9,12,7.7,14,9,1,0.6
"GENOSS DES",40,4,10,2,5,1,2.5,1,2.5,4,10,0,0
"Nobori",77,5,6.5,1,1.3,1,1.3,3,3.9,7,9.1,0,0
"BioMatrix, Orsiro",1,0,0,0,0,0,0,0,0,0,0,0,0
"BioMime",7,0,0,0,0,0,0,0,0,1,14.3,0,0
"GENOSS DES, Orsiro",1,0,0,0,0,0,0,0,0,0,0,0,0
"Nobori, Orsiro",1,0,0,0,0,0,0,0,0,0,0,0,0
"Orsiro, GENOSS DES",1,0,0,0,0,0,0,0,0,0,0,0,0
"Orsiro, Nobori",2,0,0,0,0,0,0,0,0,0,0,0,0
"Orsiro, SYNERGY",4,0,0,0,0,0,0,0,0,0,0,0,0
"SYNERGY, Orsiro",8,0,0,0,0,0,0,0,0,1,12.5,0,0
