"Subgroup","Category","N_DP","Events_DP","N_BP","Events_BP","HR","CI_lower","CI_upper","P_value","P_interaction"
"Overall","All Patients",1837,15,1837,17,1.13193986328253,0.563653682975405,2.27318279430807,0.727558444756112,NA
"Age","<65 years",983,9,916,6,0.714403050697177,0.253766406873822,2.01118708001095,0.524228414634481,0.23650871251035
"Age",">=65 years",854,6,921,11,1.69916142063868,0.626474224258823,4.60856875125647,0.297711090215799,0.23650871251035
"Sex","Male",1347,11,1320,12,1.11142071899339,0.488813427083767,2.52705008939145,0.800991502110933,0.935094917240522
"Sex","Female",490,4,517,5,1.18499050788445,0.317564600286168,4.42178537063285,0.800549084479608,0.935094917240522
"Diabetes Mellitus","No",1226,12,1231,8,0.662726422981487,0.270184972661735,1.62557638713576,0.3688409816179,0.0602450537534442
"Diabetes Mellitus","Yes",611,3,606,9,3.03072832119662,0.81765403774165,11.2337415739706,0.0971578560584019,0.0602450537534442
"Chronic Kidney Disease","No",1743,14,1740,13,0.92829305325701,0.435199584296482,1.98007540406603,0.847340597145691,0.22518157429567
"Chronic Kidney Disease","Yes",94,1,97,4,3.90819049834096,0.430457466930309,35.4830712549712,0.225872193274344,0.22518157429567
"Clinical Presentation","Stable CAD",864,6,911,4,0.631542842225751,0.177877472754435,2.24225336345541,0.477137297455718,0.260476562158004
"Clinical Presentation","ACS",973,9,926,13,1.51723216771501,0.646890087446297,3.55855422029528,0.33781323731468,0.260476562158004
"Number of Diseased Vessels","1 vessel",810,4,799,3,0.758857712965136,0.170106531931509,3.38531990504951,0.717600191654301,NA
"Number of Diseased Vessels","2 vessels",589,5,606,2,0.388097458958817,0.0751326007492889,2.00471747481357,0.258568271009505,NA
"Bifurcation Lesion","No",1523,11,1516,13,1.18553130346734,0.529743598273124,2.65314102158595,0.678811133850727,0.814320281884245
"Bifurcation Lesion","Yes",314,4,321,4,0.978078212125304,0.244558151787338,3.91169536587805,0.974997045034222,0.814320281884245
"Study Period","2010-2013",485,4,486,7,1.74212590980462,0.506558730794778,5.99141323820586,0.378423769768776,0.684745668873236
"Study Period","2014-2016",518,6,517,5,0.833771440022962,0.253689144465727,2.74026236188392,0.76458833384411,0.684745668873236
"Study Period","2017-2021",834,5,834,5,0.999638259047214,0.288534980031746,3.46327730814822,0.999544654542625,0.684745668873236
